accuracy,macro_f1,nll,brier_multiclass,ece_toplabel_10bin,mce_toplabel_10bin,feature_set,model,seed,calibration
0.9755,0.9754844294240471,0.07158242650470702,0.0384616330798068,0.008649801249608865,0.49510266171881445,FULL_11,CatBoost,2026,raw
0.976,0.9759856512135692,0.0721981035938257,0.03858995836835489,0.010214178882403209,0.16908045159949403,FULL_11,CatBoost,2027,raw
0.97475,0.9747356341967106,0.068002680846661,0.03739998644330229,0.005990116092350851,0.461253325131222,FULL_11,CatBoost,2028,raw
0.97275,0.9727292027647269,0.06893726559908449,0.039835726582868936,0.006465406342286835,0.11741502737918685,FULL_11,FTTransformer,2026,raw
0.97225,0.9722405911467886,0.06821823346195444,0.04047220516609203,0.005987943067778813,0.1779976040558463,FULL_11,FTTransformer,2027,raw
0.97575,0.9757280904974772,0.06934335331966161,0.039052583266971995,0.004351226499877828,0.10458159637596842,FULL_11,FTTransformer,2028,raw
0.9725,0.972432822369571,0.1683928217208386,0.046126674784892276,0.012715877697170858,0.149249883354992,FULL_11,KNN,2026,raw
0.9685,0.9684366016262624,0.22365421157186757,0.048872951585060755,0.009961571934893092,0.08561324273329862,FULL_11,KNN,2027,raw
0.97275,0.9726989112784458,0.2034851143869779,0.046211998491818077,0.013711288919675265,0.15068634145482285,FULL_11,KNN,2028,raw
0.9765,0.9764676743642515,0.08445293953748093,0.03791165342541287,0.01304324276521697,0.19853826732996216,FULL_11,LDA,2026,raw
0.97625,0.9762166556078247,0.08478890551024004,0.03792615812820918,0.013161185491780279,0.15594682658925707,FULL_11,LDA,2027,raw
0.9765,0.9764686477386664,0.08660423429798658,0.03853552096096833,0.014136329994139399,0.18676201720430252,FULL_11,LDA,2028,raw
0.97625,0.9762701107372772,0.0942990262366878,0.04229771630166688,0.03938608475098537,0.14539083593254365,FULL_11,LDA_MLP,2026,raw
0.97575,0.9757623850767033,0.19049712159531612,0.08346784269774121,0.1195429487738268,0.3185942142109084,FULL_11,LDA_MLP,2027,raw
0.9765,0.9765104724533705,0.09255135773870057,0.0421544867484357,0.03396764807570393,0.29709865590740125,FULL_11,LDA_MLP,2028,raw
0.9785,0.978495882770869,0.06303472920927661,0.03280915075152324,0.006493543801308,0.22884563620764076,FULL_11,LDA_SVM,2026,raw
0.9795,0.9794940737873246,0.05874316515525038,0.03184247052569244,0.006374159869662438,0.12746526644550538,FULL_11,LDA_SVM,2027,raw
0.9795,0.9794863206441785,0.06382328939047062,0.03278622542682246,0.005846766725994849,0.05973425688566658,FULL_11,LDA_SVM,2028,raw
0.9675,0.9673888632785409,0.10161301801387904,0.05203177750163125,0.01634009684493023,0.15949082786518287,FULL_11,LDA_Shrinkage,2026,raw
0.967,0.9668880704383889,0.1021331543741688,0.052201534117457656,0.017365707364083535,0.1809680996312052,FULL_11,LDA_Shrinkage,2027,raw
0.96725,0.9671468396773351,0.10275760791316525,0.05253353435500101,0.017452405155951558,0.2147637646244681,FULL_11,LDA_Shrinkage,2028,raw
0.98025,0.9802438271604939,0.05506735517226546,0.03020080939750531,0.003195118585864678,0.07912312116890907,FULL_11,LDA_XGBoost,2026,raw
0.979,0.9789960689315835,0.06015555961637366,0.032361198261810796,0.004703918727503132,0.10887606612383482,FULL_11,LDA_XGBoost,2027,raw
0.97975,0.979749979397982,0.05982399909339864,0.030272843236247016,0.0061261880572362065,0.38476158048424675,FULL_11,LDA_XGBoost,2028,raw
0.9755,0.975485444826838,0.06326745360871351,0.03681829742937605,0.005103223002156064,0.10005499095746351,FULL_11,LogisticRegression,2026,raw
0.975,0.9749904706277703,0.06401194353301815,0.03729681317129681,0.003439017243839628,0.026594249565805028,FULL_11,LogisticRegression,2027,raw
0.97575,0.975737753987776,0.0647807598231777,0.03776522324548141,0.005743581087518312,0.09351480233613874,FULL_11,LogisticRegression,2028,raw
0.97025,0.9702230750585373,0.08297050288498628,0.04685227020539542,0.00924059708564102,0.36306153331430396,FULL_11,MLP,2026,raw
0.96825,0.9682041362292795,0.08386260662343507,0.04748314344527882,0.0061417875422091015,0.0894542647183777,FULL_11,MLP,2027,raw
0.96725,0.9672063664974802,0.08920640337552777,0.04958864168565421,0.012195899980869819,0.6235315206524379,FULL_11,MLP,2028,raw
0.97025,0.970195627108178,0.08368335309723482,0.04606429266067082,0.011272554702188926,0.6335366164847425,FULL_11,PCA_MLP,2026,raw
0.965,0.9649325410916807,0.10900475516812881,0.05573418384046993,0.028759470928261758,0.3203624345504571,FULL_11,PCA_MLP,2027,raw
0.96725,0.9671930222294307,0.08940442182343003,0.048656225677940125,0.010243567874539856,0.08111502824351491,FULL_11,PCA_MLP,2028,raw
0.97575,0.9757535486944485,0.06445275314771083,0.036139889167061894,0.006883054249295197,0.1630544690735083,FULL_11,PCA_SVM,2026,raw
0.9765,0.9764771050232363,0.06523690474279648,0.03571819829620842,0.00677623139314968,0.5450800072575095,FULL_11,PCA_SVM,2027,raw
0.976,0.97597670149623,0.06619492791225232,0.036734028369664676,0.006523396830680945,0.635069074441724,FULL_11,PCA_SVM,2028,raw
0.977,0.9770020867227267,0.06729239538385842,0.035274093742427536,0.007489122779266312,0.0811351900162014,FULL_11,PCA_XGBoost,2026,raw
0.979,0.978998917917337,0.06569661601225443,0.03357791374116921,0.0061580373540474865,0.4965753347656776,FULL_11,PCA_XGBoost,2027,raw
0.9765,0.9764848599466599,0.06581769446695859,0.035706954723793684,0.004241703427910748,0.4993017982950723,FULL_11,PCA_XGBoost,2028,raw
0.97025,0.9702559454615438,0.11405740610699414,0.0445610787037276,0.00849063547991825,0.1906223224211358,FULL_11,QDA,2026,raw
0.971,0.9710110389016351,0.10995845724440136,0.04483218997957962,0.006736989887455242,0.1008931074257684,FULL_11,QDA,2027,raw
0.97,0.9700403546847605,0.13015034842057216,0.045832469784112505,0.009837684728990378,0.1053071613427794,FULL_11,QDA,2028,raw
0.973,0.9729921947442811,0.07262801523346991,0.04145007337653911,0.006865145565256036,0.06794836459945541,FULL_11,RandomForest,2026,raw
0.9735,0.9734948049817764,0.07220482614899376,0.04138204358908846,0.006948671298788026,0.16666666666566676,FULL_11,RandomForest,2027,raw
0.97375,0.9737428514913185,0.0721496636137622,0.040787331163778646,0.008227747540789539,0.10973981522740917,FULL_11,RandomForest,2028,raw
0.97625,0.9762542803586811,0.06446045640624469,0.0362306344134001,0.006483991895685801,0.5029870186935443,FULL_11,SVM_RBF,2026,raw
0.9765,0.9764771050232363,0.06478392413199976,0.035525964152259885,0.00721299744709606,0.5177194668971711,FULL_11,SVM_RBF,2027,raw
0.97625,0.9762263600011944,0.0654230252602813,0.03636694467191097,0.006096368798080492,0.6282769046652896,FULL_11,SVM_RBF,2028,raw
0.96875,0.9686796003379299,0.08846801074347169,0.047518658212246837,0.006137280292747177,0.5004026612715684,FULL_11,TabNet,2026,raw
0.9745,0.9745157629256482,0.07605094584809738,0.03947342954271487,0.0018462536482266433,0.04373807601770807,FULL_11,TabNet,2027,raw
0.96875,0.9687163714899157,0.08199566204332161,0.045659021859071426,0.004089225099741403,0.1643722079157024,FULL_11,TabNet,2028,raw
0.9865,0.9864991359447004,0.035305845745252,0.02077661107432316,0.003865758366099395,0.08830617264077756,FULL_11,TabPFN,2026,raw
0.98675,0.9867485390264277,0.0351640060278255,0.02037308591131909,0.0016319019312850986,0.1033379161931135,FULL_11,TabPFN,2027,raw
0.9865,0.9864983663023226,0.035648538694835835,0.020610763478995372,0.0015013467884763556,0.057374194304926296,FULL_11,TabPFN,2028,raw
0.97325,0.9732323678836918,0.06985001778250585,0.0396858641579144,0.005002606646987349,0.14574098015383952,FULL_11,XGBoost,2026,raw
0.97525,0.9752368139004177,0.06629847764312652,0.03812113552500593,0.006569394377942846,0.5007316546286634,FULL_11,XGBoost,2027,raw
0.973,0.9729902290515365,0.0777207367160982,0.04135790116126686,0.008786544662481851,0.4998324072169397,FULL_11,XGBoost,2028,raw
0.9735,0.9734914112172344,0.08189815941437326,0.042059486427084736,0.014164588283142316,0.1671459726513957,REDUCED_7,CatBoost,2026,raw
0.97425,0.9742402048378896,0.07989097505341831,0.04234816625179619,0.009035979144593191,0.10054616913708159,REDUCED_7,CatBoost,2027,raw
0.97425,0.9742421116466918,0.07617281490702271,0.0411342067156601,0.005484784139307071,0.051208611536687765,REDUCED_7,CatBoost,2028,raw
0.953,0.9529158671904578,0.4260891280581621,0.07170457060216694,0.015646017001848565,0.03606148645374019,REDUCED_7,KNN,2026,raw
0.955,0.9549147323601753,0.43980192704018933,0.0715616141519418,0.018399884166999975,0.09657855032096341,REDUCED_7,KNN,2027,raw
0.94825,0.948122814425872,0.46083463542167613,0.07806188775820774,0.016582311398282364,0.12216857241395351,REDUCED_7,KNN,2028,raw
0.97275,0.9726846619132673,0.09231859856575933,0.042804386403432676,0.0151416964274389,0.19846038906417707,REDUCED_7,LDA,2026,raw
0.97275,0.9726757132606826,0.0927568215414451,0.04284636058923381,0.014301985486792386,0.20151469157562263,REDUCED_7,LDA,2027,raw
0.972,0.9719229941874795,0.09306063176094907,0.0430652740807215,0.015108364179238954,0.17145190637716812,REDUCED_7,LDA,2028,raw
0.98025,0.9802381379422999,0.06459660983612195,0.03237114332495622,0.007164503279216273,0.08220000175526943,REDUCED_7,LDA_SVM,2026,raw
0.9795,0.9794900731954266,0.06586779180900951,0.03333609528636678,0.0070517326872215,0.11005112077561108,REDUCED_7,LDA_SVM,2027,raw
0.9805,0.9804896790402122,0.06413941502069548,0.03198201999773145,0.007216956239208256,0.1001484861453995,REDUCED_7,LDA_SVM,2028,raw
0.96875,0.9685798820025743,0.09916731962444184,0.04997061250317809,0.016425497813626695,0.1438170513618363,REDUCED_7,LDA_Shrinkage,2026,raw
0.969,0.9688363384160965,0.0991017901390819,0.0498810409474047,0.014132453922581419,0.14039146522183943,REDUCED_7,LDA_Shrinkage,2027,raw
0.969,0.9688363384160965,0.0991167007385976,0.04982812867215027,0.01413583477877562,0.1526211950672698,REDUCED_7,LDA_Shrinkage,2028,raw
0.979,0.9789839977964687,0.06573632054754454,0.03290914292677955,0.006737939531530328,0.4134005811795463,REDUCED_7,LDA_XGBoost,2026,raw
0.9765,0.9765028647888688,0.06269542825954906,0.03400050834172104,0.0055198521266422995,0.3550053404642142,REDUCED_7,LDA_XGBoost,2027,raw
0.981,0.981001560819005,0.06117162196370966,0.031484400276309187,0.004900285468542905,0.4191606703275542,REDUCED_7,LDA_XGBoost,2028,raw
0.973,0.972985441248248,0.07216823469134535,0.0409601831659056,0.009430513973996878,0.0912494392226959,REDUCED_7,LogisticRegression,2026,raw
0.973,0.972985441248248,0.07241712263650808,0.04117384870487251,0.009178598548156218,0.0668105008343306,REDUCED_7,LogisticRegression,2027,raw
0.973,0.9729833311673483,0.07258917549427615,0.041294065902429476,0.010290956332119617,0.08997827304627215,REDUCED_7,LogisticRegression,2028,raw
0.9655,0.9654813170922139,0.09300028306199505,0.05287215466294276,0.01769483043960766,0.49973996615301447,REDUCED_7,MLP,2026,raw
