feature_set,model,seed,calibration,accuracy,macro_f1,nll,brier_multiclass,ece_toplabel_10bin,mce_toplabel_10bin
FULL_11,CatBoost,2026,temperature_crossfit,0.9755,0.9754844294240471,0.07021597809445565,0.038669189399159,0.0048528406461924335,0.12450319998601722
FULL_11,CatBoost,2027,temperature_crossfit,0.976,0.9759856512135692,0.0691891086313295,0.03886536203899345,0.004990270022439907,0.5000705552649278
FULL_11,CatBoost,2028,temperature_crossfit,0.97475,0.9747356341967106,0.06688326141100832,0.037721490650314375,0.0033971294182454396,0.472026149194558
FULL_11,FTTransformer,2026,temperature_crossfit,0.97275,0.9727292027647269,0.06970499119833358,0.03976089645218269,0.004610426601902718,0.08583672028474787
FULL_11,FTTransformer,2027,temperature_crossfit,0.97225,0.9722405911467886,0.06837598856852639,0.04035894425436232,0.004700506453689449,0.14464460938519907
FULL_11,FTTransformer,2028,temperature_crossfit,0.97575,0.9757280904974772,0.06921484404856144,0.039301153832984895,0.00452480125573549,0.11891912578133002
FULL_11,KNN,2026,temperature_crossfit,0.9725,0.972432822369571,0.12671197605239948,0.06935244238542354,0.04820399222806324,0.5311596942362536
FULL_11,KNN,2027,temperature_crossfit,0.9685,0.9684366016262624,0.12175539257669261,0.06452174362948165,0.031994443795670915,0.3190754473993055
FULL_11,KNN,2028,temperature_crossfit,0.97275,0.9726989112784458,0.12602048337703017,0.06761907302283389,0.04309400847254574,0.33257045990745926
FULL_11,LDA,2026,temperature_crossfit,0.9765,0.9764676743642515,0.06364614944038303,0.03610931257707671,0.003246460516131645,0.07879552716663818
FULL_11,LDA,2027,temperature_crossfit,0.97625,0.9762166556078247,0.06382922487034652,0.03612138725615447,0.002841407216893867,0.10685024790766473
FULL_11,LDA,2028,temperature_crossfit,0.9765,0.9764686477386664,0.065075870934909,0.036852082199871655,0.003995556548376738,0.10510983739620872
FULL_11,LDA_MLP,2026,temperature_crossfit,0.97625,0.9762701107372772,0.06887454448005698,0.03645647469583542,0.0029222651191649703,0.08398219621337666
FULL_11,LDA_MLP,2027,temperature_crossfit,0.97575,0.9757623850767033,0.09465177900882286,0.04241590368624175,0.01092886420850925,0.227413315809203
FULL_11,LDA_MLP,2028,temperature_crossfit,0.9765,0.9765104724533705,0.07258669445444213,0.0375568183622766,0.0023444436503835303,0.07321269987845491
FULL_11,LDA_SVM,2026,temperature_crossfit,0.9785,0.978495882770869,0.06230308661830939,0.03293906299828812,0.003317776228887166,0.2489893062321576
FULL_11,LDA_SVM,2027,temperature_crossfit,0.9795,0.9794940737873246,0.05808056643660925,0.03200273541941239,0.004198083010745243,0.1677721123681769
FULL_11,LDA_SVM,2028,temperature_crossfit,0.9795,0.9794863206441785,0.06401357331710522,0.03287493190090972,0.003326980500602963,0.1070362931202461
FULL_11,LDA_Shrinkage,2026,temperature_crossfit,0.9675,0.9673888632785409,0.08589892993968953,0.049833183744229244,0.004046481228569716,0.09060161100599795
FULL_11,LDA_Shrinkage,2027,temperature_crossfit,0.967,0.9668880704383889,0.08564667782977915,0.04970291228980233,0.002605669284362061,0.04052048416913834
FULL_11,LDA_Shrinkage,2028,temperature_crossfit,0.96725,0.9671468396773351,0.08671475331657383,0.05020402139172178,0.004208223882481442,0.10432610953361732
FULL_11,LDA_XGBoost,2026,temperature_crossfit,0.98025,0.9802438271604939,0.055180853128385735,0.03020589900298215,0.003040735508208674,0.07953947162846153
FULL_11,LDA_XGBoost,2027,temperature_crossfit,0.979,0.9789960689315835,0.060270461941537026,0.03224192166569243,0.004285870994931259,0.18818613110639915
FULL_11,LDA_XGBoost,2028,temperature_crossfit,0.97975,0.979749979397982,0.06016345590923241,0.0301672952059026,0.0025683398668152305,0.5004093011724546
FULL_11,LogisticRegression,2026,temperature_crossfit,0.9755,0.975485444826838,0.06304016773955459,0.03681908497520172,0.002879549580841038,0.07756903233847978
FULL_11,LogisticRegression,2027,temperature_crossfit,0.975,0.9749904706277703,0.06370332838257271,0.03729731223794981,0.0023646252030769437,0.03467399002699323
FULL_11,LogisticRegression,2028,temperature_crossfit,0.97575,0.975737753987776,0.06521276401278683,0.03794187553178211,0.0031683818839383085,0.07338423156123408
FULL_11,MLP,2026,temperature_crossfit,0.97025,0.9702230750585373,0.08135552694471604,0.04675183476274891,0.004712252676137648,0.3773585274220558
FULL_11,MLP,2027,temperature_crossfit,0.96825,0.9682041362292795,0.08340933191668204,0.04751643747708745,0.004640770332217425,0.09229464851043201
FULL_11,MLP,2028,temperature_crossfit,0.96725,0.9672063664974802,0.08496577017441367,0.049078750324105656,0.0024004926744793714,0.532953318733698
FULL_11,PCA_MLP,2026,temperature_crossfit,0.97025,0.970195627108178,0.07960055763401473,0.04559107855795432,0.0030919345112775773,0.6270009863319226
FULL_11,PCA_MLP,2027,temperature_crossfit,0.965,0.9649325410916807,0.09512384243688916,0.05257577885349917,0.004273136528937446,0.32141263279356813
FULL_11,PCA_MLP,2028,temperature_crossfit,0.96725,0.9671930222294307,0.08602899357934594,0.04823385664301898,0.0031510829016562466,0.26492419121557
FULL_11,PCA_SVM,2026,temperature_crossfit,0.97575,0.9757535486944485,0.062491442478679216,0.03618704117356027,0.003750789215287004,0.09198258216223398
FULL_11,PCA_SVM,2027,temperature_crossfit,0.9765,0.9764771050232363,0.06360813762939006,0.0355606323350534,0.0024235654839149284,0.5165398786858018
FULL_11,PCA_SVM,2028,temperature_crossfit,0.976,0.97597670149623,0.06559940013057934,0.036855694581241084,0.0022199022481171676,0.625057981447384
FULL_11,PCA_XGBoost,2026,temperature_crossfit,0.977,0.9770020867227267,0.06529924455576243,0.03481831292773483,0.00303766042601279,0.0656570901394462
FULL_11,PCA_XGBoost,2027,temperature_crossfit,0.979,0.978998917917337,0.0675685022311162,0.03378351667977485,0.003045528332253802,0.24144764055580453
FULL_11,PCA_XGBoost,2028,temperature_crossfit,0.9765,0.9764848599466599,0.06822406592715359,0.03600087286277916,0.002470878502524185,0.49798919974147904
FULL_11,QDA,2026,temperature_crossfit,0.97025,0.9702559454615438,0.10116738677922237,0.045922121222304685,0.011421845410237459,0.08530796216558723
FULL_11,QDA,2027,temperature_crossfit,0.971,0.9710110389016351,0.10120474029821912,0.045955451339412805,0.010844762813789122,0.08879828082620078
FULL_11,QDA,2028,temperature_crossfit,0.97,0.9700403546847605,0.11338804711205369,0.048205140420464684,0.016665272046575502,0.11970674349506893
FULL_11,RandomForest,2026,temperature_crossfit,0.973,0.9729921947442811,0.07263217877209184,0.04144355580560564,0.005285027309672638,0.10391607540593195
FULL_11,RandomForest,2027,temperature_crossfit,0.9735,0.9734948049817764,0.0710771562750636,0.04123528019657837,0.004022811879091134,0.16666666666566676
FULL_11,RandomForest,2028,temperature_crossfit,0.97375,0.9737428514913185,0.07113010403930345,0.04042224089595278,0.004101424093867776,0.062210022124422615
FULL_11,SVM_RBF,2026,temperature_crossfit,0.97625,0.9762542803586811,0.06292472175868342,0.03633309072806142,0.004401053228867242,0.5016312094231472
FULL_11,SVM_RBF,2027,temperature_crossfit,0.9765,0.9764771050232363,0.06337665110983905,0.03542571773857885,0.0019139827913542235,0.07119569060475317
FULL_11,SVM_RBF,2028,temperature_crossfit,0.97625,0.9762263600011944,0.06481515276360461,0.036499123821415166,0.0025520617274650665,0.6179106602887734
FULL_11,TabNet,2026,temperature_crossfit,0.96875,0.9686796003379299,0.08875920323895051,0.04752660315999725,0.0033999727080237293,0.5021239887213311
FULL_11,TabNet,2027,temperature_crossfit,0.9745,0.9745157629256482,0.07621878523839226,0.03948299290937924,0.0027709087015347173,0.041716692484304985
FULL_11,TabNet,2028,temperature_crossfit,0.96875,0.9687163714899157,0.0820052898446158,0.04566986351267739,0.0035954537022869306,0.1210686988048002
FULL_11,TabPFN,2026,temperature_crossfit,0.9865,0.9864991359447004,0.035261480969409655,0.020852492725324037,0.0032059405747869854,0.110074452139583
FULL_11,TabPFN,2027,temperature_crossfit,0.98675,0.9867485390264277,0.03536868853745247,0.020432542578871303,0.0015255658592119752,0.11913787327907444
FULL_11,TabPFN,2028,temperature_crossfit,0.9865,0.9864983663023226,0.03567952385472205,0.020664985911761947,0.0015042935735890602,0.08396475082444077
FULL_11,XGBoost,2026,temperature_crossfit,0.97325,0.9732323678836918,0.07071480127971373,0.03978628076528862,0.003591059604297154,0.0999085494360038
FULL_11,XGBoost,2027,temperature_crossfit,0.97525,0.9752368139004177,0.0662527052535166,0.03828675080650974,0.0036003296663873665,0.5003230437278676
FULL_11,XGBoost,2028,temperature_crossfit,0.973,0.9729902290515365,0.07892060899477571,0.041186679360953965,0.0026705160512109413,0.4950610762101209
REDUCED_7,CatBoost,2026,temperature_crossfit,0.9735,0.9734914112172344,0.07598217336744016,0.04176577708764457,0.002990548627037242,0.04247848219852424
REDUCED_7,CatBoost,2027,temperature_crossfit,0.97425,0.9742402048378896,0.07825434556612382,0.042465645710321256,0.005364361697800713,0.12365531531813256
REDUCED_7,CatBoost,2028,temperature_crossfit,0.97425,0.9742421116466918,0.07549190914279592,0.0413100175090148,0.004493065044233571,0.07414857535189445
REDUCED_7,KNN,2026,temperature_crossfit,0.953,0.9529158671904578,0.15768533539342874,0.0784839724412346,0.019736224032631654,0.16473469359348714
REDUCED_7,KNN,2027,temperature_crossfit,0.955,0.9549147323601753,0.16413220991256733,0.08186081788309303,0.025845335036520475,0.20257742611781016
REDUCED_7,KNN,2028,temperature_crossfit,0.94825,0.948122814425872,0.177116658203548,0.0895718154669432,0.027574906808912746,0.3748472216737425
REDUCED_7,LDA,2026,temperature_crossfit,0.97275,0.9726846619132673,0.07324443778144366,0.04094172391757014,0.00482485868492612,0.08221970983403126
REDUCED_7,LDA,2027,temperature_crossfit,0.97275,0.9726757132606826,0.07319118494698948,0.040882412393511224,0.004803218152402841,0.0650631698903199
REDUCED_7,LDA,2028,temperature_crossfit,0.972,0.9719229941874795,0.07376759584222455,0.04122592106958196,0.0050457646658923746,0.07160189094772745
REDUCED_7,LDA_SVM,2026,temperature_crossfit,0.98025,0.9802381379422999,0.06390316458501503,0.03244452457560403,0.002578699478306682,0.12432271967338049
REDUCED_7,LDA_SVM,2027,temperature_crossfit,0.9795,0.9794900731954266,0.06566209530427976,0.03346302547807157,0.004851274756429833,0.1975564558143691
