model,seed,outer_fold,train_fraction,n_train,train_macro_f1,test_macro_f1,fit_predict_seconds
TabPFN,2026,1,0.2,640,0.9921874237053097,0.9837490858860811,16.295856714248657
TabPFN,2026,1,0.4,1280,0.9898425348735567,0.9874971868670451,4.015529632568359
TabPFN,2026,1,0.6,1920,0.9906235349273323,0.9849939975990396,3.97580623626709
TabPFN,2026,1,0.8,2560,0.989452809562786,0.9849966242404542,4.589971303939819
TabPFN,2026,1,1.0,3200,0.9890617779064321,0.9887465536320498,5.2074480056762695
TabPFN,2026,2,0.2,640,0.989061538611792,0.9837498984368652,3.2670769691467285
TabPFN,2026,2,0.4,1280,0.9976562442779402,0.9799979997999799,3.6913464069366455
TabPFN,2026,2,0.6,1920,0.9932289829910751,0.9787488046202599,3.9968056678771973
TabPFN,2026,2,0.8,2560,0.993359046681385,0.9774949363606811,4.542785167694092
TabPFN,2026,2,1.0,3200,0.9931243124312431,0.9787466791686201,5.250675439834595
TabPFN,2026,3,0.2,640,0.9921868132941372,0.9924992499249925,3.1872026920318604
TabPFN,2026,3,0.4,1280,0.9898425348735567,0.9887482419127989,3.6884958744049072
TabPFN,2026,3,0.6,1920,0.9901036404930383,0.9899977494936361,4.034623861312866
TabPFN,2026,3,0.8,2560,0.9902336537305306,0.9887465536320498,4.5638580322265625
TabPFN,2026,3,1.0,3200,0.9887482419127989,0.9924992499249925,5.300618886947632
TabPFN,2026,4,0.2,640,0.9859263675368212,0.9837417692706933,3.20879864692688
TabPFN,2026,4,0.4,1280,0.9898417411646346,0.984998499849985,3.6457509994506836
TabPFN,2026,4,0.6,1920,0.9921868132941372,0.9812498828117675,4.09390115737915
TabPFN,2026,4,0.8,2560,0.9910149614320881,0.9824982498249825,4.5839478969573975
TabPFN,2026,4,1.0,3200,0.98999899989999,0.9874971868670451,5.278221845626831
TabPFN,2026,5,0.2,640,0.9874921826141339,0.9787466791686201,3.2500603199005127
TabPFN,2026,5,0.4,1280,0.9937497558498378,0.9824960616138632,3.67553448677063
TabPFN,2026,5,0.6,1920,0.9901032968392405,0.984998499849985,4.047472238540649
TabPFN,2026,5,0.8,2560,0.9906247940018214,0.9824995624890622,4.6678125858306885
TabPFN,2026,5,1.0,3200,0.9909370716350265,0.984998499849985,5.354275941848755
TabPFN,2027,1,0.2,640,0.996875,0.9849966242404542,3.2691140174865723
TabPFN,2027,1,0.4,1280,0.9898417411646346,0.9837417692706933,3.6646647453308105
TabPFN,2027,1,0.6,1920,0.9906235349273323,0.9899977494936361,4.049147844314575
TabPFN,2027,1,0.8,2560,0.9890611914022918,0.9874971868670451,4.59796929359436
TabPFN,2027,1,1.0,3200,0.989373655103224,0.9874971868670451,5.325844764709473
TabPFN,2027,2,0.2,640,0.9874995116996758,0.9837417692706933,3.217679738998413
TabPFN,2027,2,0.4,1280,0.9921871948122973,0.9887482419127989,3.678168773651123
TabPFN,2027,2,0.6,1920,0.9911453625464027,0.98999899989999,4.078068733215332
TabPFN,2027,2,0.8,2560,0.9933588845367609,0.98999899989999,4.603261232376099
TabPFN,2027,2,1.0,3200,0.9906242821716038,0.98999899989999,5.367915153503418
TabPFN,2027,3,0.2,640,0.996875,0.9862499140619629,3.179244041442871
TabPFN,2027,3,0.4,1280,0.9914057254471098,0.9862492265189917,3.6947970390319824
TabPFN,2027,3,0.6,1920,0.989061538611792,0.9874996874921873,4.110455513000488
TabPFN,2027,3,0.8,2560,0.9886703191051017,0.9874996874921873,4.627977132797241
TabPFN,2027,3,1.0,3200,0.9887478726446719,0.9874996874921873,5.396393537521362
TabPFN,2027,4,0.2,640,0.9937490232848882,0.9762498515615723,3.2351605892181396
TabPFN,2027,4,0.4,1280,0.9921874237053097,0.9774977497749775,3.6550838947296143
TabPFN,2027,4,0.6,1920,0.9947914632081982,0.9787488046202599,4.060060262680054
TabPFN,2027,4,0.8,2560,0.9910146981713812,0.9812470698546648,4.603814363479614
TabPFN,2027,4,1.0,3200,0.9909369016939009,0.9812470698546648,5.336564302444458
TabPFN,2027,5,0.2,640,0.9953124542231857,0.9824686185145022,3.2666640281677246
