model,train_fraction,mean_n_train,mean_train_macro_f1,sd_train_macro_f1,mean_test_macro_f1,sd_test_macro_f1
LDA_XGBoost,0.2,640.0,0.9965623606264483,0.0030801583775134163,0.9714263017856817,0.0062908091956069235
LDA_XGBoost,0.4,1280.0,0.9947911146962224,0.0045339183429131385,0.9745301899305697,0.005534313095666948
LDA_XGBoost,0.6,1920.0,0.9919433158934334,0.004579236296774682,0.9770094663443882,0.0033661794438288287
LDA_XGBoost,0.8,2560.0,0.9902568969399996,0.004156411784609097,0.9788208735380957,0.003884300677774837
LDA_XGBoost,1.0,3200.0,0.9890573444096703,0.0038665771610707713,0.9797448435755017,0.004358444614418794
TabPFN,0.2,640.0,0.992290109330917,0.0035685439242885736,0.9833269916221806,0.00400345913915375
TabPFN,0.4,1280.0,0.9925513946903581,0.002468679566292365,0.984497665038955,0.0037145287385194855
TabPFN,0.6,1920.0,0.9920827072463284,0.0020855097543466925,0.9850815907409961,0.0039091789418172615
TabPFN,0.8,2560.0,0.9907022948765416,0.0015146113569215998,0.9857478156350102,0.003684357933087529
TabPFN,1.0,3200.0,0.9904157338789845,0.001197100566433063,0.9865812186933535,0.003793551183547889
