feature_set,model,seed,outer_fold,best_score_inner,best_params
FULL_11,CatBoost,2026,1,0.9740331032632332,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.1}"
FULL_11,CatBoost,2026,2,0.9759188210715553,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.1}"
FULL_11,CatBoost,2026,3,0.9731014238043576,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.1}"
FULL_11,CatBoost,2026,4,0.9746698530113443,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.03}"
FULL_11,CatBoost,2026,5,0.9728118608039756,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.03}"
FULL_11,CatBoost,2027,1,0.9740342670058788,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.1}"
FULL_11,CatBoost,2027,2,0.974982820201817,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.1}"
FULL_11,CatBoost,2027,3,0.9740318169119574,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.03}"
FULL_11,CatBoost,2027,4,0.9749750004575972,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.1}"
FULL_11,CatBoost,2027,5,0.9762495568628116,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.03}"
FULL_11,CatBoost,2028,1,0.9774632339064446,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.03}"
FULL_11,CatBoost,2028,2,0.9731111117326132,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}"
FULL_11,CatBoost,2028,3,0.9781052071090048,"{""depth"": 6, ""iterations"": 600, ""learning_rate"": 0.03}"
FULL_11,CatBoost,2028,4,0.9746674269020992,"{""depth"": 6, ""iterations"": 600, ""learning_rate"": 0.1}"
FULL_11,CatBoost,2028,5,0.9762231599245578,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.1}"
FULL_11,KNN,2026,1,0.9696039641537438,"{""clf__n_neighbors"": 11, ""clf__p"": 2, ""clf__weights"": ""distance""}"
FULL_11,KNN,2026,2,0.9689819819806408,"{""clf__n_neighbors"": 7, ""clf__p"": 2, ""clf__weights"": ""distance""}"
