model,mean_macro_f1,sd_macro_f1,mean_accuracy,mean_balanced_accuracy,mean_mcc,mean_kappa,mean_log_loss
LDA_XGBoost,0.9796612924751675,0.00410167686190529,0.9796666666666667,0.9796666666666667,0.9729519790890465,0.9728888888888889,0.05834897085596799
LDA_SVM,0.9792435556409316,0.0035628166683489746,0.9792500000000001,0.9792500000000001,0.972458083118903,0.9723333333333334,0.06186706125166592
PCA_XGBoost,0.9774988744330237,0.006372470837387794,0.9774999999999999,0.9774999999999999,0.9700504183879993,0.9700000000000001,0.06626890319845703
LDA_MLP,0.9761735514989359,0.0060047341689751935,0.9761666666666666,0.9761666666666666,0.9683014962495828,0.9682222222222222,0.1257825018569016
SVM_RBF,0.975986749603584,0.004271615700021821,0.9760000000000001,0.9760000000000001,0.9681253459162984,0.968,0.0648891352661753
PCA_SVM,0.9759866942413623,0.0041115353745809985,0.9760000000000001,0.9760000000000001,0.9681265703686729,0.9680000000000001,0.06529486193425327
LogisticRegression,0.9753979060249066,0.005785475858854277,0.9754166666666666,0.9754166666666666,0.967303959934296,0.9672222222222222,0.06402005232052964
XGBoost,0.9738172758273961,0.005847476030397028,0.9738333333333333,0.9738333333333333,0.965200126709222,0.9651111111111111,0.07128974471752168
FTTransformer,0.9735569041924986,0.005596570914643634,0.9735833333333334,0.9735833333333334,0.9649555855720134,0.9647777777777778,0.06883295057847334
TabNet,0.9706275633606632,0.006737235107340837,0.9706666666666667,0.9706666666666667,0.9610628446933849,0.9608888888888889,0.0818861796028639
MLP,0.9685293129556373,0.006634358095509405,0.9685833333333334,0.9685833333333334,0.9582978174396395,0.958111111111111,0.08534650429464975
PCA_MLP,0.9674317064754054,0.006956018557710145,0.9674999999999999,0.9674999999999999,0.9569038826890104,0.9566666666666668,0.09403084336293123
