model,mean_full11,mean_reduced7,mean_delta,min_ci_low,max_ci_high,seeds_ci_excludes_zero,seeds_ci_within_pm_0_01,seeds_mcnemar_holm_sig
LDA_SVM,0.9792457860165195,0.9809926187556078,0.0017468327390884515,-0.0010065817157179358,0.004477866729413091,1,3,0
LDA_Shrinkage,0.9671412577980883,0.9687508529449224,0.0016095951468341567,-0.001090861986467012,0.004328368078905301,0,3,0
SVM_RBF,0.9759907498682597,0.9774002717070444,0.001409521838784696,-0.0023083170294484505,0.005364167705384318,0,3,0
LDA_XGBoost,0.9796632918300198,0.9788294744681142,-0.0008338173619056125,-0.005931792062552371,0.004319777189387425,0,3,0
TabPFN,0.9865820137578168,0.9855815352545312,-0.0010004785032857733,-0.003316054704877536,0.0007720892287167215,0,3,0
CatBoost,0.9754019049447756,0.9739912425672719,-0.0014106623775036835,-0.005362643743824616,0.0029712026647689994,0,3,0
RandomForest,0.973409950405792,0.9714897093203659,-0.0019202410854260998,-0.0057967898673807385,0.002058835471774803,0,3,0
MLP,0.9685445259284323,0.9665552467792602,-0.0019892791491721664,-0.009668681733035325,0.0055029830599804845,1,3,0
LogisticRegression,0.9754045564807948,0.972984737887948,-0.002419818592846642,-0.005576722025731153,0.0007463654142776141,1,3,0
XGBoost,0.973819803611882,0.9705596439567876,-0.003260159655094408,-0.00869361191148561,0.0012636355092804584,1,3,0
LDA,0.9763843259035809,0.9724277897871431,-0.0039565361164377215,-0.007543435964312098,-0.0007500719348823347,3,3,0
QDA,0.9704357796826465,0.9604162710973769,-0.010019508585269602,-0.015080792489763569,-0.005134501449641272,3,0,3
KNN,0.9711894450914264,0.9519844713255017,-0.01920497376592467,-0.030971909439772235,-0.007907214715049802,3,0,3
