model,mean_macro_f1,sd_macro_f1,mean_accuracy,mean_balanced_accuracy,mean_log_loss,n_folds,rank_macro_f1
TabPFN,0.9865812186933535,0.0037935511835479017,0.9865833333333334,0.9865833333333334,0.03537276807951917,15,1
LDA_XGBoost,0.9796612924751675,0.00410167686190529,0.9796666666666667,0.9796666666666667,0.05834897085596799,15,2
LDA_SVM,0.9792435556409316,0.0035628166683489746,0.9792500000000001,0.9792500000000001,0.06186706125166592,15,3
PCA_XGBoost,0.9774988744330237,0.006372470837387794,0.9774999999999999,0.9774999999999999,0.06626890319845703,15,4
LDA,0.9763786352238275,0.005176497043773399,0.9764166666666667,0.9764166666666667,0.08528202644614585,15,5
LDA_MLP,0.9761735514989359,0.0060047341689751935,0.9761666666666666,0.9761666666666666,0.1257825018569016,15,6
SVM_RBF,0.975986749603584,0.004271615700021821,0.9760000000000001,0.9760000000000001,0.0648891352661753,15,7
PCA_SVM,0.9759866942413623,0.0041115353745809985,0.9760000000000001,0.9760000000000001,0.06529486193425327,15,8
CatBoost,0.9754007600421718,0.004925920875696639,0.9754166666666666,0.9754166666666666,0.07059440364839796,15,9
LogisticRegression,0.9753979060249066,0.005785475858854277,0.9754166666666666,0.9754166666666666,0.06402005232052964,15,10
XGBoost,0.9738172758273961,0.005847476030397028,0.9738333333333333,0.9738333333333333,0.07128974471752168,15,11
FTTransformer,0.9735569041924986,0.005596570914643634,0.9735833333333334,0.9735833333333334,0.06883295057847334,15,12
RandomForest,0.973407013172859,0.0049662900410389725,0.9734166666666667,0.9734166666666667,0.07232750166283948,15,13
KNN,0.9711802926040692,0.004595205018314478,0.97125,0.97125,0.24057387725632776,15,14
TabNet,0.9706275633606632,0.006737235107340837,0.9706666666666667,0.9706666666666667,0.0818861796028639,15,15
QDA,0.970431786710831,0.006198330522902199,0.9704166666666667,0.9704166666666667,0.12429032577005876,15,16
MLP,0.9685293129556373,0.006634358095509405,0.9685833333333334,0.9685833333333334,0.08534650429464975,15,17
PCA_MLP,0.9674317064754054,0.006956018557710145,0.9674999999999999,0.9674999999999999,0.09403084336293123,15,18
LDA_Shrinkage,0.9671285479912917,0.008032308138937882,0.96725,0.96725,0.10216792676474575,15,19
