feature_set,model,calibration,macro_f1_mean,accuracy_mean,brier_mean,nll_mean,ece_mean,mce_mean,rank_macro_f1,mean_macro_f1
FULL_11,TabPFN,raw,0.9865820137578168,0.9865833333333334,0.02058682015487921,0.03537279682263778,0.0023330023619536166,0.08300609437960578,1,0.9865812186933535
FULL_11,TabPFN,temperature_crossfit,0.9865820137578168,0.9865833333333334,0.020650007071985763,0.03543656445386139,0.0020786000025293403,0.1043923587476994,1,0.9865812186933535
FULL_11,LDA_XGBoost,raw,0.9796632918300198,0.9796666666666667,0.03094495029852104,0.058348971294012585,0.004675075123534672,0.19092025592566353,2,0.9796612924751675
FULL_11,LDA_XGBoost,temperature_crossfit,0.9796632918300198,0.9796666666666667,0.03087170529152573,0.05853825699305173,0.0032983154566517212,0.2560449679691051,2,0.9796612924751675
FULL_11,LDA_SVM,raw,0.9791587590674573,0.9791666666666666,0.03247928223467938,0.06186706125166588,0.006238156798988429,0.1386817198462709,3,0.9792435556409316
FULL_11,LDA_SVM,temperature_crossfit,0.9791587590674573,0.9791666666666666,0.03260557677287008,0.061465742124007954,0.003614279913411791,0.17459923724019352,3,0.9792435556409316
FULL_11,PCA_XGBoost,raw,0.9774952881955746,0.9775,0.034852987402463474,0.06626890195435715,0.005962954520408182,0.3590041076923171,4,0.9774988744330237
FULL_11,PCA_XGBoost,temperature_crossfit,0.9774952881955746,0.9775,0.03486756749009628,0.06703060423801073,0.0028513557535969256,0.2683646434789099,4,0.9774988744330237
FULL_11,LDA,raw,0.9763843259035809,0.9764166666666667,0.038124444171530124,0.08528202644856919,0.013446919417045547,0.18041570370784057,5,0.9763786352238275
FULL_11,LDA,temperature_crossfit,0.9763843259035809,0.9764166666666667,0.03636092734436761,0.06418374841521285,0.003361141427134083,0.09691853749017054,5,0.9763786352238275
FULL_11,LDA_MLP,raw,0.9761809894224504,0.9761666666666667,0.055973348582614595,0.1257825018569015,0.0642988938668387,0.2536945686836178,6,0.9761735514989359
FULL_11,LDA_MLP,temperature_crossfit,0.9761809894224504,0.9761666666666667,0.03880973224811792,0.07870433931444065,0.005398524326019251,0.12820273730034484,6,0.9761735514989359
FULL_11,SVM_RBF,raw,0.9763192484610372,0.9763333333333333,0.03604118107919032,0.06488913526617525,0.006597786046954118,0.549661130085335,7,0.975986749603584
FULL_11,SVM_RBF,temperature_crossfit,0.9763192484610372,0.9763333333333333,0.036085977429351816,0.06370550854404236,0.0029556992492288437,0.39691252010555794,7,0.975986749603584
FULL_11,PCA_SVM,raw,0.9760691184046383,0.9760833333333334,0.03619737194431166,0.06529486193425321,0.006727560824375274,0.44773451692424726,8,0.9759866942413623
FULL_11,PCA_SVM,temperature_crossfit,0.9760691184046383,0.9760833333333334,0.03620112269661826,0.06389966007954954,0.002798085649106367,0.4111934807651399,8,0.9759866942413623
FULL_11,CatBoost,raw,0.9754019049447756,0.9754166666666667,0.038150525963821326,0.0705944036483979,0.008284698741454308,0.37514547948317684,9,0.9754007600421718
FULL_11,CatBoost,temperature_crossfit,0.9754019049447756,0.9754166666666667,0.03841868069615561,0.06876278271226449,0.004413413362292593,0.3655333014818343,9,0.9754007600421718
FULL_11,LogisticRegression,raw,0.9754045564807948,0.9754166666666667,0.03729344461538475,0.06402005232163645,0.004761940444504668,0.07338801428646909,10,0.9753979060249066
FULL_11,LogisticRegression,temperature_crossfit,0.9754045564807948,0.9754166666666667,0.037352757581644545,0.06398542004497138,0.0028041855559520963,0.06187575130890236,10,0.9753979060249066
FULL_11,XGBoost,raw,0.973819803611882,0.9738333333333333,0.03972163361472906,0.07128974404724352,0.006786181895804016,0.3821016806664809,11,0.9738172758273961
FULL_11,XGBoost,temperature_crossfit,0.973819803611882,0.9738333333333333,0.03975323697758411,0.07196270517600202,0.003287301773965154,0.36509755645799746,11,0.9738172758273961
FULL_11,FTTransformer,raw,0.9735659614696642,0.9735833333333334,0.03978683833864432,0.06883295079356684,0.005601525303314492,0.13333140927033385,12,0.9735569041924986
FULL_11,FTTransformer,temperature_crossfit,0.9735659614696642,0.9735833333333334,0.039806998179843296,0.0690986079384738,0.004611911437109219,0.11646681848375899,12,0.9735569041924986
FULL_11,RandomForest,raw,0.973409950405792,0.9734166666666667,0.041206482709802074,0.07232750166540862,0.007347188134944533,0.11478494883084378,13,0.973407013172859
FULL_11,RandomForest,temperature_crossfit,0.973409950405792,0.9734166666666667,0.04103369229937893,0.07161314636215296,0.0044697544275438495,0.11093092139867378,13,0.973407013172859
FULL_11,KNN,raw,0.9711894450914264,0.9712500000000001,0.04707054162059037,0.19851071589322802,0.012129579517246405,0.12851648918103784,14,0.9711802926040692
FULL_11,KNN,temperature_crossfit,0.9711894450914264,0.9712500000000001,0.06716441967924636,0.12482928400204076,0.04109748149875997,0.3942685338476728,14,0.9711802926040692
FULL_11,TabNet,raw,0.9706372449178313,0.9706666666666667,0.04421703653801105,0.08217153954496355,0.004024253013571741,0.23617098173499296,15,0.9706275633606632
FULL_11,TabNet,temperature_crossfit,0.9706372449178313,0.9706666666666667,0.04422648652735129,0.08232775944065286,0.0032554450372817927,0.22163646000347878,15,0.9706275633606632
FULL_11,QDA,raw,0.9704357796826465,0.9704166666666666,0.045075246155806575,0.11805540392398922,0.008355103365454622,0.13227419706322788,16,0.970431786710831
FULL_11,QDA,temperature_crossfit,0.9704357796826465,0.9704166666666666,0.04669423766072739,0.1052533913964984,0.012977293423534028,0.09793766216228565,16,0.970431786710831
FULL_11,MLP,raw,0.9685445259284323,0.9685833333333335,0.047974685112109484,0.0853465042946497,0.00919276153623998,0.35868243956170653,17,0.9685293129556373
